Date,Series,Scientific,Common,Specimen,Stain,Location,Plate,Reference,Investigation,Microscope,Objective,ObjectiveMagnification,Camera,LowerCameraMagnification,UpperCameraMagnification,NotebookReference,Notes
2026-03-12,PS I - LAKWAR Prepared Slides for Microbiology,Tilia sp.,Lime,"Tilia stem, T.S.",,,PS-LAK-017-001.png,PS-LAK-017-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-12,PS I - LAKWAR Prepared Slides for Microbiology,Tilia sp.,Lime,"Tilia stem, T.S.",,,PS-LAK-017-002.png,PS-LAK-017-002,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-12,PS I - LAKWAR Prepared Slides for Microbiology,Capsicum sp.,Pepper,"Capsicum peel, W.M.",,,PS-LAK-018-001.png,PS-LAK-018-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-12,PS I - LAKWAR Prepared Slides for Microbiology,,,"Apical bud, L.S.",,,PS-LAK-019-001.png,PS-LAK-019-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-12,PS I - LAKWAR Prepared Slides for Microbiology,,,"Apical bud, L.S.",,,PS-LAK-019-002.png,PS-LAK-019-002,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-12,PS I - LAKWAR Prepared Slides for Microbiology,,,"Apical bud, L.S.",,,PS-LAK-019-003.png,PS-LAK-019-003,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-12,PS I - LAKWAR Prepared Slides for Microbiology,Jasminum nudiflorum,Jasmine,"Jasminum nudiflorum leaf, T.S.",,,PS-LAK-020-001.png,PS-LAK-020-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Ligustrum lucidum,Glossy privet,"Leaf of Ligustrum lucidum, T.S.",,,PS-LAK-021-001.png,PS-LAK-021-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Ligustrum lucidum,Glossy privet,"Leaf of Ligustrum lucidum, T.S.",,,PS-LAK-021-002.png,PS-LAK-021-002,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
2026-03-13,PS I - LAKWAR Prepared Slides for Microbiology,Gossyplum sp.,Cotton,"Cotton leaf, T.S.",,,PS-LAK-022-001.png,PS-LAK-022-001,IN-2026-008,"Ernst Leitz, Wetzlar, 1912, Stand II",No. 3,10,Swift EC5R,26,39,"Vol. III, p. 25",
