Species,Scientific_Name,Category
Gadwall,Mareca strepera,Birds
Garden Warbler,Sylvia borin,Birds
Garlic Mustard,Alliaria petiolata,Flora
Gatekeeper Butterfly,Pyronia tithonus,Butterflies
Germander Speedwell,Veronica chamaedrys,Flora
Ghost Ant,Tapinoma melanocephalum,Ants
Ghost Crab,Ocypode,Marine Invertebrates
Giant African Land Snail,Lissachatina fulica,Molluscs
Giraffe,,Ungulates
Globe Skimmer Dragonfly,Pantala flavescens,Dragonflies
Goat's Beard,Tragopogon pratensis,Flora
Goldcrest,Regulus regulus,Birds
Golden Jackal,Canis aureus,Dog Family
Golden-Ringed Dragonfly,Cordulegaster boltonii,Dragonflies
Goldeneye,Bucephala clangula,Birds
Goldfinch,Carduelis carduelis,Birds
Goosander,Mergus merganser,Birds
Gorse,Ulex europaeus,Shrubs
Goshawk,Accipiter gentilis,Birds
Graeffe's Sea Cucumber,Pearsonothuria graeffei,Marine Invertebrates
Grant's Gazelle,Nanger granti,Ungulates
Grass Snake,Natrix helvetica,Reptiles
Grasshopper,,Grasshoppers
Great Black-Backed Gull,Larus marinus,Birds
Great Crested Grebe,Podiceps cristatus,Birds
Great Mullein,Verbascum thapsus,Flora
Great Spotted Woodpecker,Dendrocopos major,Birds
Great Tit,Parus major,Birds
Great White Pelican,Pelecanus onocrotalus,Birds
Greater Black-Backed Gull,Larus marinus,Birds
Greater Flamingo,Phoenicopterus ruber,Birds
Greater Knapweed,Centaurea scabiosa,Flora
Greater Stitchwort,Stellaria holostea,Flora
Green Alkanet,Pentaglottis sempervirens,Flora
Green Bottle,Lucilia sericata,Flies
Green Sandpiper,Tringa ochropus,Birds
Green Shield Bug,Palomena prasina,Insects
Green Woodpecker,Picus viridis,Birds
Green-Veined White Butterfly,Pieris napi,Butterflies
Greenfinch,Chloris chloris,Birds
Grey Crowned Crane,Balearica regulorum,Birds
Grey Heron,Ardea cinerea,Birds
Grey Seal,Halichoerus grypus,Mammals
Grey Squirrel,Sciurus carolinensis,Rodents
Grey Wagtail,Motacilla cinerea,Birds
Grey-Capped Social Weaver,Pseudonigrita arnaudi,Birds
Grey-Headed Kingfisher,Halcyon leucocephala,Birds
Greylag Goose,Anser anser,Birds
Grouse,,Birds
Gull,,Birds
Hadada Ibis,Bostrychia hagedash,Birds
