Name,Address,City,County,Country,Latitude,Longitude
Tarangire National Park,None,,Manyara Region,Tanzania,-3.999721,35.979958
Thames Path Abingdon-Oxford,,,Oxfordshire,United Kingdom,,
Thrupp Lake,Radley Lakes,Radley,Oxfordshire,United Kingdom,51.673813,-1.24953
Troutbeck,Troutbeck,,Cumbria,United Kingdom,54.3939,-2.9201
Twickenham,London Road,Twickenham,Greater London,United Kingdom,51.4454,-0.3297
University Parks,South Parks Road,Oxford,Oxfordshire,United Kingdom,51.75948,-1.25053
WWT Slimbridge,Bowditch,Slimbridge,Gloucestershire,United Kingdom,51.74100,-2.40374
Warburg Reserve,,Bix Bottom,Oxfordshire,United Kingdom,51.57457,-0.95163
Waterperry Gardens,None,Waterperry,Oxfordshire,United Kingdom,51.75328,-1.09069
Whitefield,None,,Greater Manchester,United Kingdom,53.5521,-2.2992
Wilverley Inclosure,None,New Milton,Hampshire,United Kingdom,50.8016054,-1.6366237
Wittenham Clumps,Little Wittenham,Didcot,Oxfordshire,United Kingdom,51.630366,-1.182766
Wytham Woods,Sawmill Yard,Oxford,Oxfordshire,United Kingdom,51.7344,-1.28794
Zanzibar,None,,Zanzibar,Tanzania,-6.130442,39.352877
